"","n_trials","alpha1_est","alpha2_est","alpha1_prior","alpha2_prior"
"111",100,0.696886,0.648055,0.531068,0.668142
"112",100,0.330459,0.493844,0.51967,0.691494
"113",100,0.839578,0.622368,0.706777,0.585306
"114",100,0.841869,0.540139,0.693216,0.597072
"115",100,0.552152,0.604546,0.688435,0.498505
"116",100,0.413384,0.642422,0.637158,0.661414
"117",100,0.755359,0.483666,0.610574,0.704421
"118",100,0.711124,0.42166,0.732097,0.468356
"119",100,0.692703,0.391491,0.614894,0.734227
"120",100,0.677416,0.369538,0.65692,0.811504
"121",100,0.689849,0.4256,0.803262,0.658435
"122",100,0.692418,0.395043,0.594663,0.622051
"123",100,0.630005,0.565139,0.590064,0.60553
"124",100,0.61823,0.569726,0.586716,0.638813
"125",100,0.638182,0.692618,0.549248,0.680871
"126",100,0.717894,0.683901,0.536983,0.611564
"127",100,0.706002,0.411937,0.661964,0.558634
"128",100,0.636954,0.835168,0.729483,0.769134
"129",100,0.532092,0.588265,0.592002,0.730373
"130",100,0.70365,0.704662,0.468404,0.570407
"131",100,0.363765,0.640289,0.699226,0.610375
"132",100,0.757143,0.568343,0.828611,0.792109
"133",100,0.791364,0.647385,0.776292,0.564462
"134",100,0.798457,0.637273,0.645654,0.58724
"135",100,0.547074,0.558381,0.607941,0.523207
"136",100,0.42482,0.551177,0.752927,0.494493
"137",100,0.578066,0.616573,0.786249,0.654284
"138",100,0.553425,0.606595,0.648835,0.742278
"139",100,0.563663,0.629134,0.503428,0.44393
"140",100,0.560321,0.693443,0.670044,0.569057
"141",100,0.576114,0.738592,0.695369,0.793374
"142",100,0.704717,0.803432,0.771632,0.514854
"143",100,0.734506,0.815747,0.51261,0.558028
"144",100,0.665643,0.749524,0.637738,0.506506
"145",100,0.426479,0.624305,0.567946,0.686606
"146",100,0.692824,0.676648,0.709186,0.820678
"147",100,0.692522,0.680067,0.543747,0.508023
"148",100,0.608861,0.588108,0.65268,0.780259
